SITE_ID,cluster,lon,lat,ELEV,MAP,MAT,IGBP,start_year,end_year
US-Var,cDD,-120.9507,38.4133,129,559,15.8,GRA,2002,2010
US-Ton,cDD,-120.96598,38.4316,177,559,15.8,WSA,2001,2009
AU-Stp,cDD,133.3502,-17.1507,228,640,26.1,GRA,2010,2018
US-SRG,cDD,-110.827675,31.789379,1291,420,17,GRA,2008,2016
FR-Pue,cGR,3.5957,43.7413,270,883,13.5,EBF,2001,2009
AU-How,cGR,131.1523,-12.4943,64,1750,26.7,WSA,2005,2013
AU-DaS,cGR,131.3881,-14.1593,110,1175,26.6,SAV,2010,2018
AU-Dry,cGR,132.3706,-15.2588,175,895,27.1,SAV,2011,2019
NL-Loo,cLS,5.74356,52.16658,25,786,9.8,ENF,2002,2010
US-MMS,cLS,-86.4131,39.3232,275,1032,10.85,DBF,2002,2010
DE-Hai,cLS,10.45217,51.07921,430,720,8.3,DBF,2001,2009
RU-Fyo,cLS,32.92208,56.46153,265,711,3.9,ENF,2003,2011
US-Ha1,cNA,-72.1715,42.5378,340,1071,6.62,DBF,1999,2007
BE-Vie,cNA,5.99812,50.30493,493,1062,7.8,MF,2010,2018
DE-Tha,cNA,13.56515,50.96256,385,843,8.2,ENF,2008,2016
FI-Hyy,cNA,24.29477,61.84741,181,709,3.8,ENF,2006,2014